Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
45 23/03/28 01:34:36 2.02 4 3986250 1140350 33364850 3892952 1507980 2384972 0 0 NaN 69099839 309536195 
46 23/03/28 01:34:39 27.92 4 3988640 1141130 33374140 3892952 1459864 2433088 0 0 NaN 69112970 309544834 
47 23/03/28 01:34:43 0 4 3988810 1141310 33387700 3892952 1476024 2416928 0 0 NaN 69113040 309547632 
48 23/03/28 01:34:46 1.01 4 3989000 1141480 33401230 3892952 1474016 2418936 0 0 NaN 69116455 309552022 
49 23/03/28 01:34:50 3.03 4 3989140 1141690 33414520 3892952 1476564 2416388 0 0 NaN 69117261 309552321 
50 23/03/28 01:34:53 0 4 3989280 1141860 33428120 3892952 1477292 2415660 0 0 NaN 69117448 309552753 
51 23/03/28 01:34:57 7.58 4 3989760 1142130 33441280 3892952 1465300 2427652 0 0 NaN 69117996 309553477 
52 23/03/28 01:35:00 4.48 4 3990080 1142380 33454710 3892952 1472108 2420844 0 0 NaN 69118435 309554006 
53 23/03/28 01:35:04 1.01 4 3990220 1142550 33468280 3892952 1475604 2417348 0 0 NaN 69118505 309554170 
54 23/03/28 01:35:07 0.5 4 3990370 1142690 33481630 3892952 1471348 2421604 0 0 NaN 69118505 309554274 
55 23/03/28 01:35:11 3.03 4 3990520 1142900 33495210 3892952 1481500 2411452 0 0 NaN 69118505 309554378 
56 23/03/28 01:35:14 0 4 3990640 1143050 33508860 3892952 1485436 2407516 0 0 NaN 69118832 309557327 
57 23/03/28 01:35:18 0 4 3990740 1143200 33522550 3892952 1482948 2410004 0 0 NaN 69118832 309557431 
58 23/03/28 01:35:21 3.52 4 3990890 1143400 33536160 3892952 1490356 2402596 0 0 NaN 69118832 309557535 
59 23/03/28 01:35:25 1 4 3991040 1143590 33549790 3892952 1485064 2407888 0 0 NaN 69118902 309557699 
60 23/03/28 01:35:28 2.99 4 3991170 1143780 33563430 3892952 1478040 2414912 0 0 NaN 69118902 309557751 
61 23/03/28 01:35:32 4 4 3991350 1143960 33577110 3892952 1476780 2416172 0 0 NaN 69118996 309557921 
62 23/03/28 01:35:35 0.5 4 3991460 1144120 33590790 3892952 1475268 2417684 0 0 NaN 69119253 309558228 
63 23/03/28 01:35:39 3.98 4 3991610 1144310 33604360 3892952 1486744 2406208 0 0 NaN 69119323 309558392 
64 23/03/28 01:35:43 4.52 4 3991750 1144460 33618030 3892952 1481956 2410996 0 0 NaN 69119323 309561078 
65 23/03/28 01:35:46 0.5 4 3991920 1144590 33631700 3892952 1479944 2413008 0 0 NaN 69119323 309561182 
66 23/03/28 01:35:50 4 4 3992180 1144790 33645200 3892952 1474148 2418804 0 0 NaN 69119393 309561346 
67 23/03/28 01:35:53 4 4 3992360 1144930 33658850 3892952 1478944 2414008 0 0 NaN 69119593 309561753 
68 23/03/28 01:35:57 3.02 4 3992480 1145100 33672390 3892952 1475164 2417788 0 0 NaN 69119593 309561805 
69 23/03/28 01:36:00 3.03 4 3992620 1145300 33685990 3892952 1473904 2419048 0 0 NaN 69119663 309561969 
70 23/03/28 01:36:04 3.54 4 3992740 1145440 33699630 3892952 1476864 2416088 0 0 NaN 69120026 309562413 
71 23/03/28 01:36:07 0.5 4 3992890 1145590 33713290 3892952 1476360 2416592 0 0 NaN 69120026 309562517 
72 23/03/28 01:36:11 3.52 4 3993080 1145760 33726860 3892952 1472328 2420624 0 0 NaN 69120096 309562629 
73 23/03/28 01:36:14 1 4 3993220 1145920 33740430 3892952 1471100 2421852 0 0 NaN 69120096 309565367 
74 23/03/28 01:36:18 0 4 3993350 1146060 33754120 3892952 1480196 2412756 0 0 NaN 69120096 309565471 
