Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
46 23/03/28 02:26:56 100 4 6026670 1498600 43137110 3892952 1209960 2682992 0 0 NaN 90678448 322798559 
47 23/03/28 02:27:00 99.5 4 6040550 1498730 43137110 3892952 1206180 2686772 0 0 NaN 90678518 322798723 
48 23/03/28 02:27:03 100 4 6054360 1498890 43137110 3892952 1206180 2686772 0 0 NaN 90678681 322798893 
49 23/03/28 02:27:07 100 4 6068270 1499000 43137110 3892952 1213728 2679224 0 0 NaN 90678775 322799082 
50 23/03/28 02:27:10 100 4 6082170 1499100 43137110 3892952 1208968 2683984 0 0 NaN 90678845 322799246 
51 23/03/28 02:27:14 100 4 6096100 1499190 43137110 3892952 1212740 2680212 0 0 NaN 90678845 322799350 
52 23/03/28 02:27:17 100 4 6109970 1499340 43137110 3892952 1183248 2709704 0 0 NaN 90679315 322807676 
53 23/03/28 02:27:21 100 4 6123830 1499520 43137110 3892952 1163308 2729644 0 0 NaN 90683345 322822388 
54 23/03/28 02:27:24 100 4 6137740 1499620 43137110 3892952 1177512 2715440 0 0 NaN 90683415 322822552 
55 23/03/28 02:27:28 100 4 6151660 1499720 43137110 3892952 1197148 2695804 0 0 NaN 90684049 322822851 
56 23/03/28 02:27:31 100 4 6165600 1499790 43137110 3892952 1195136 2697816 0 0 NaN 90684049 322822955 
57 23/03/28 02:27:35 100 4 6179540 1499880 43137110 3892952 1202376 2690576 0 0 NaN 90684119 322823067 
58 23/03/28 02:27:38 100 4 6193450 1499970 43137110 3892952 1200612 2692340 0 0 NaN 90684119 322823213 
59 23/03/28 02:27:42 0 4 6199790 1500140 43144520 3892952 1191292 2701660 0 0 NaN 90684386 322823530 
60 23/03/28 02:27:45 6.03 4 6199940 1500310 43158080 3892952 1204544 2688408 0 0 NaN 90684713 322826195 
61 23/03/28 02:27:49 0.5 4 6200010 1500480 43171660 3892952 1210492 2682460 0 0 NaN 90684713 322826583 
62 23/03/28 02:27:52 0 4 6200130 1500660 43185290 3892952 1209488 2683464 0 0 NaN 90684713 322826687 
63 23/03/28 02:27:56 3.52 4 6200290 1500870 43198870 3892952 1214372 2678580 0 0 NaN 90684783 322826851 
64 23/03/28 02:27:59 0.5 4 6200430 1501010 43212530 3892952 1210120 2682832 0 0 NaN 90684783 322826955 
65 23/03/28 02:28:03 0.5 4 6200550 1501190 43226220 3892952 1214720 2678232 0 0 NaN 90685040 322827210 
66 23/03/28 02:28:06 4.5 4 6200780 1501400 43239700 3892952 1207916 2685036 0 0 NaN 90689885 322829751 
67 23/03/28 02:28:10 2.01 4 6201040 1501580 43253170 3892952 1212956 2679996 0 0 NaN 90690292 322842423 
68 23/03/28 02:28:13 2.51 4 6201260 1501750 43266710 3892952 1215892 2677060 0 0 NaN 90690292 322842527 
69 23/03/28 02:28:17 4.04 4 6201530 1501920 43280100 3892952 1213152 2679800 0 0 NaN 90690550 322845614 
70 23/03/28 02:28:20 2.51 4 6201780 1502070 43293550 3892952 1216704 2676248 0 0 NaN 90690550 322845718 
71 23/03/28 02:28:24 0.5 4 6202020 1502210 43307050 3892952 1214216 2678736 0 0 NaN 90690550 322845822 
72 23/03/28 02:28:27 3.02 4 6202150 1502370 43320660 3892952 1210436 2682516 0 0 NaN 90690620 322845986 
73 23/03/28 02:28:31 4.06 4 6202300 1502540 43334260 3892952 1208928 2684024 0 0 NaN 90690877 322846241 
74 23/03/28 02:28:34 19.29 4 6203700 1502930 43346360 3892952 1211184 2681768 0 0 NaN 90690877 322846345 
75 23/03/28 02:28:38 15.08 4 6204140 1503220 43359570 3892952 1200852 2692100 0 0 NaN 90690877 322846449 
76 23/03/28 02:28:41 18 4 6204810 1503570 43371750 3892952 1196068 2696884 0 0 NaN 90690947 322846613 
77 23/03/28 02:28:45 25.63 4 6206530 1505730 43381710 3892952 217432 3675520 0 0 NaN 90690947 322846665 
78 23/03/28 02:28:48 28 4 6208540 1507560 43391880 3892952 737612 3155340 0 0 NaN 90690947 322849403 
79 23/03/28 02:28:52 25.13 4 6211520 1508330 43402110 3892952 197352 3695600 0 0 NaN 90691017 322849567 
80 23/03/28 02:28:55 25 4 6214890 1508660 43412350 3892952 193572 3699380 0 0 NaN 90691111 322849737 
81 23/03/28 02:28:59 31 4 6217360 1510000 43422400 3892952 1238792 2654160 0 0 NaN 90691368 322849992 
82 23/03/28 02:29:02 25.5 4 6218570 1512630 43432570 3892952 1171700 2721252 0 0 NaN 90691438 322850156 
83 23/03/28 02:29:06 28.28 4 6221450 1513520 43442690 3892952 221440 3671512 0 0 NaN 90691438 322850260 
84 23/03/28 02:29:09 28.5 4 6224000 1514720 43452900 3892952 217684 3675268 0 0 NaN 90691438 322850364 
85 23/03/28 02:29:13 25.38 4 6226560 1516100 43462760 3892952 203784 3689168 0 0 NaN 90691508 322850476 
86 23/03/28 02:29:16 28.14 4 6229090 1517440 43472780 3892952 199636 3693316 0 0 NaN 90691765 322853417 
87 23/03/28 02:29:20 39 4 6231990 1518740 43482430 3892952 203560 3689392 0 0 NaN 90691765 322853521 
88 23/03/28 02:29:23 25.13 4 6234870 1519620 43492660 3892952 215080 3677872 0 0 NaN 90691835 322853685 
89 23/03/28 02:29:27 28.14 4 6237280 1521000 43502820 3892952 1260520 2632432 0 0 NaN 90691835 322853737 
90 23/03/28 02:29:30 28 4 6239010 1523020 43513030 3892952 389420 3503532 0 0 NaN 90691998 322853841 
91 23/03/28 02:29:34 25.37 4 6241960 1523800 43523290 3892952 1166816 2726136 0 0 NaN 90692162 322854208 
92 23/03/28 02:29:37 27.27 4 6244800 1524820 43533310 3892952 151040 3741912 0 0 NaN 90692162 322854354 
93 23/03/28 02:29:41 26 4 6248390 1524960 43543520 3892952 150388 3742564 0 0 NaN 90692256 322854472 
94 23/03/28 02:29:44 25.63 4 6251980 1525130 43553710 3892952 145348 3747604 0 0 NaN 90692326 322854636 
95 23/03/28 02:29:48 30 4 6254950 1525950 43563860 3892952 289328 3603624 0 0 NaN 90692583 322857577 
96 23/03/28 02:29:51 25.13 4 6258500 1526120 43574120 3892952 284288 3608664 0 0 NaN 90692583 322857681 
97 23/03/28 02:29:55 50.25 4 6262220 1526720 43583760 3892952 1126100 2766852 0 0 NaN 90695173 322861449 
98 23/03/28 02:29:58 28.14 4 6266460 1527660 43592230 3892952 288648 3604304 0 0 NaN 90695243 322861561 
99 23/03/28 02:30:02 0 4 6267170 1527910 43605180 3892952 1324776 2568176 0 0 NaN 90695243 322861665 
100 23/03/28 02:30:05 0 4 6267270 1528060 43618680 3892952 1328016 2564936 0 0 NaN 90695243 322861769 
