DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-28 01:33:17 38043 3892952  6.6  2.7 00:00:05 23765000
2023-03-28 01:33:18 38043 3892952  6.5  2.7 00:00:05 23405000
2023-03-28 01:33:19 38043 3892952  6.5  2.7 00:00:05 23405000
2023-03-28 01:33:20 38043 3892952  6.4  2.7 00:00:05 23045000
2023-03-28 01:33:21 38043 3892952  6.3  2.7 00:00:05 22685000
2023-03-28 01:33:22 38043 3892952  6.2  2.7 00:00:05 22325000
2023-03-28 01:33:23 38043 3892952  6.2  2.7 00:00:05 22325000
2023-03-28 01:33:24 38043 3892952  6.1  2.7 00:00:05 21965000
2023-03-28 01:33:26 38043 3892952  6.0  2.7 00:00:05 21605000
2023-03-28 01:33:27 38043 3892952  6.0  2.7 00:00:05 21605000
2023-03-28 01:33:28 38043 3892952  5.9  2.7 00:00:05 21245000
2023-03-28 01:33:29 38043 3892952  5.8  2.7 00:00:05 20885000
2023-03-28 01:33:30 38043 3892952  5.8  2.7 00:00:05 20885000
2023-03-28 01:33:31 38043 3892952  5.7  2.7 00:00:05 20525000
2023-03-28 01:33:32 38043 3892952  5.7  2.7 00:00:05 20525000
2023-03-28 01:33:33 38043 3892952  5.6  2.7 00:00:05 20165000
2023-03-28 01:33:34 38043 3892952  5.6  2.7 00:00:05 20165000
2023-03-28 01:33:35 38043 3892952  5.5  2.7 00:00:05 19805000
2023-03-28 01:33:36 38043 3892952  5.4  2.7 00:00:05 19445000
2023-03-28 01:33:37 38043 3892952  5.3  2.7 00:00:05 19085000
2023-03-28 01:33:38 38043 3892952  5.3  2.7 00:00:05 19085000
2023-03-28 01:33:39 38043 3892952  5.2  2.7 00:00:05 18725000
2023-03-28 01:33:40 38043 3892952  5.2  2.7 00:00:05 18725000
2023-03-28 01:33:41 38043 3892952  5.1  2.7 00:00:05 18365000
2023-03-28 01:33:42 38043 3892952  5.1  2.7 00:00:05 18365000
2023-03-28 01:33:43 38043 3892952  5.1  2.7 00:00:05 18365000
2023-03-28 01:33:44 38043 3892952  5.0  2.7 00:00:05 18005000
2023-03-28 01:33:45 38043 3892952  5.0  2.7 00:00:05 18005000
2023-03-28 01:33:47 38043 3892952  4.9  2.7 00:00:05 17645000
2023-03-28 01:33:48 38043 3892952  4.9  2.7 00:00:05 17645000
2023-03-28 01:33:49 38043 3892952  4.9  2.7 00:00:05 17645000
2023-03-28 01:33:50 38043 3892952  4.8  2.7 00:00:05 17285000
2023-03-28 01:33:51 38043 3892952  4.8  2.7 00:00:05 17285000
2023-03-28 01:33:52 38043 3892952  4.7  2.7 00:00:05 16925000
2023-03-28 01:33:53 38043 3892952  4.7  2.7 00:00:05 16925000
2023-03-28 01:33:54 38043 3892952  4.7  2.7 00:00:05 16925000
