DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-29 02:30:59 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:00 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:01 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:02 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:03 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:05 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:06 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:07 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:08 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:09 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:11 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:12 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:13 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:14 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:15 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:16 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:17 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:18 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:19 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:21 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:22 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:23 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:24 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:25 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:26 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:27 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:28 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:29 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:30 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:31 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:32 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:33 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:34 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:35 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:36 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:37 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:38 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:39 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:40 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:41 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:43 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:44 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:45 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:46 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:47 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:48 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:49 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:50 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:51 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:52 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:53 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:54 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:55 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:56 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:57 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:58 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:31:59 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:00 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:01 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:02 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:03 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:05 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:06 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:07 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:08 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:09 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:10 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:11 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:12 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:13 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:14 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:15 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:16 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:17 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:20 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:21 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:22 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:23 97214 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:32:24 97214 3892952  0.2  0.1 00:00:00 720000
