DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-29 02:22:14 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:15 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:16 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:17 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:18 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:19 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:20 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:21 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:23 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:24 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:25 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:26 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:27 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:28 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:29 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:30 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:31 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:32 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:33 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:34 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:35 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:36 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:37 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:38 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:39 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:40 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:41 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:42 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:44 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:45 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:46 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:47 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:48 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:49 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:50 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:51 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:52 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:53 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:54 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:55 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:56 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:57 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:58 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:22:59 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:00 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:01 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:02 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:03 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:05 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:06 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:07 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:08 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:09 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:10 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:11 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:12 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:13 87615 3892952  0.2  0.1 00:00:00 720000
2023-03-29 02:23:14 87615 3892952  0.2  0.1 00:00:00 720000
