DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-28 02:09:51 44351 3892952  7.2  2.9 00:00:06 25926000
2023-03-28 02:09:52 44351 3892952  7.1  2.9 00:00:06 25566000
2023-03-28 02:09:53 44351 3892952  7.1  2.9 00:00:06 25566000
2023-03-28 02:09:54 44351 3892952  7.0  2.9 00:00:06 25206000
2023-03-28 02:09:55 44351 3892952  6.9  2.9 00:00:06 24846000
2023-03-28 02:09:56 44351 3892952  6.8  2.9 00:00:06 24486000
2023-03-28 02:09:57 44351 3892952  6.8  2.9 00:00:06 24486000
2023-03-28 02:09:58 44351 3892952  6.7  2.9 00:00:06 24126000
2023-03-28 02:09:59 44351 3892952  6.6  2.9 00:00:06 23766000
2023-03-28 02:10:00 44351 3892952  6.6  2.9 00:00:06 23766000
2023-03-28 02:10:01 44351 3892952  6.5  2.9 00:00:06 23406000
2023-03-28 02:10:03 44351 3892952  6.4  2.9 00:00:06 23046000
2023-03-28 02:10:04 44351 3892952  6.4  2.9 00:00:06 23046000
2023-03-28 02:10:05 44351 3892952  6.3  2.9 00:00:06 22686000
2023-03-28 02:10:06 44351 3892952  6.2  2.9 00:00:06 22326000
2023-03-28 02:10:07 44351 3892952  6.2  2.9 00:00:06 22326000
2023-03-28 02:10:08 44351 3892952  6.1  2.9 00:00:06 21966000
2023-03-28 02:10:09 44351 3892952  6.1  2.9 00:00:06 21966000
2023-03-28 02:10:10 44351 3892952  6.0  2.9 00:00:06 21606000
2023-03-28 02:10:11 44351 3892952  6.0  2.9 00:00:06 21606000
2023-03-28 02:10:12 44351 3892952  5.9  2.9 00:00:06 21246000
2023-03-28 02:10:13 44351 3892952  5.8  2.9 00:00:06 20886000
2023-03-28 02:10:14 44351 3892952  5.8  2.9 00:00:06 20886000
2023-03-28 02:10:15 44351 3892952  5.7  2.9 00:00:06 20526000
2023-03-28 02:10:16 44351 3892952  5.7  2.9 00:00:06 20526000
2023-03-28 02:10:18 44351 3892952  5.6  2.9 00:00:06 20166000
2023-03-28 02:10:19 44351 3892952  5.6  2.9 00:00:06 20166000
2023-03-28 02:10:20 44351 3892952  5.5  2.9 00:00:06 19806000
2023-03-28 02:10:21 44351 3892952  5.4  2.9 00:00:06 19446000
2023-03-28 02:10:22 44351 3892952  5.4  2.9 00:00:06 19446000
2023-03-28 02:10:24 44351 3892952  5.3  2.9 00:00:06 19086000
2023-03-28 02:10:25 44351 3892952  5.3  2.9 00:00:06 19086000
2023-03-28 02:10:26 44351 3892952  5.2  2.9 00:00:06 18726000
2023-03-28 02:10:27 44351 3892952  5.2  2.9 00:00:06 18726000
2023-03-28 02:10:28 44351 3892952  5.1  2.9 00:00:06 18366000
2023-03-28 02:10:29 44351 3892952  5.1  2.9 00:00:06 18366000
2023-03-28 02:10:31 44351 3892952  5.0  2.9 00:00:06 18006000
2023-03-28 02:10:32 44351 3892952  5.0  2.9 00:00:06 18006000
2023-03-28 02:10:33 44351 3892952  4.9  2.9 00:00:06 17646000
2023-03-28 02:10:34 44351 3892952  4.9  2.9 00:00:06 17646000
2023-03-28 02:10:35 44351 3892952  4.9  2.9 00:00:06 17646000
2023-03-28 02:10:37 44351 3892952  4.8  2.9 00:00:06 17286000
2023-03-28 02:10:38 44351 3892952  4.8  2.9 00:00:06 17286000
2023-03-28 02:10:39 44351 3892952  4.7  2.9 00:00:06 16926000
2023-03-28 02:10:40 44351 3892952  4.7  2.9 00:00:06 16926000
2023-03-28 02:10:41 44351 3892952  4.6  2.9 00:00:06 16566000
2023-03-28 02:10:43 44351 3892952  4.6  2.9 00:00:06 16566000
2023-03-28 02:10:44 44351 3892952  4.6  2.9 00:00:06 16566000
2023-03-28 02:10:45 44351 3892952  4.5  2.9 00:00:06 16206000
2023-03-28 02:10:46 44351 3892952  4.5  2.9 00:00:06 16206000
2023-03-28 02:10:47 44351 3892952  4.4  2.9 00:00:06 1.5846e+07
2023-03-28 02:10:48 44351 3892952  4.4  2.9 00:00:06 1.5846e+07
2023-03-28 02:10:49 44351 3892952  4.4  2.9 00:00:06 1.5846e+07
2023-03-28 02:10:50 44351 3892952  4.4  2.9 00:00:06 1.5846e+07
2023-03-28 02:10:51 44351 3892952  4.3  2.9 00:00:06 15486000
2023-03-28 02:10:52 44351 3892952  4.3  2.9 00:00:06 15486000
2023-03-28 02:10:54 44351 3892952  4.3  2.9 00:00:06 15486000
2023-03-28 02:10:55 44351 3892952  4.3  2.9 00:00:06 15486000
2023-03-28 02:10:56 44351 3892952  4.2  3.0 00:00:06 15126000
2023-03-28 02:10:57 44351 3892952  4.2  3.0 00:00:06 15126000
2023-03-28 02:10:58 44351 3892952  4.2  3.0 00:00:06 15126000
2023-03-28 02:10:59 44351 3892952  4.1  3.0 00:00:06 1.4766e+07
2023-03-28 02:11:00 44351 3892952  4.1  3.0 00:00:06 1.4766e+07
2023-03-28 02:11:01 44351 3892952  4.1  3.0 00:00:06 1.4766e+07
2023-03-28 02:11:02 44351 3892952  4.1  3.0 00:00:06 1.4766e+07
2023-03-28 02:11:03 44351 3892952  4.0  3.0 00:00:06 14406000
2023-03-28 02:11:04 44351 3892952  4.0  3.0 00:00:06 14406000
2023-03-28 02:11:05 44351 3892952  4.0  3.0 00:00:06 14406000
2023-03-28 02:11:06 44351 3892952  4.0  3.0 00:00:06 14406000
2023-03-28 02:11:07 44351 3892952  3.9  3.0 00:00:06 14046000
2023-03-28 02:11:08 44351 3892952  3.9  3.0 00:00:06 14046000
2023-03-28 02:11:09 44351 3892952  3.9  3.0 00:00:06 14046000
2023-03-28 02:11:10 44351 3892952  3.9  3.1 00:00:06 14046000
2023-03-28 02:11:11 44351 3892952  3.9  3.1 00:00:06 14046000
2023-03-28 02:11:12 44351 3892952  3.8  3.1 00:00:06 13686000
2023-03-28 02:11:13 44351 3892952  3.8  3.1 00:00:06 13686000
2023-03-28 02:11:15 44351 3892952  3.8  3.1 00:00:06 13686000
2023-03-28 02:11:16 44351 3892952  3.8  3.1 00:00:06 13686000
2023-03-28 02:11:17 44351 3892952  3.8  3.1 00:00:06 13686000
2023-03-28 02:11:18 44351 3892952  3.7  3.1 00:00:06 13326000
2023-03-28 02:11:19 44351 3892952  3.7  3.1 00:00:06 13326000
2023-03-28 02:11:20 44351 3892952  3.7  3.1 00:00:06 13326000
2023-03-28 02:11:21 44351 3892952  3.7  3.1 00:00:06 13326000
2023-03-28 02:11:22 44351 3892952  3.7  3.1 00:00:06 13326000
2023-03-28 02:11:23 44351 3892952  3.6  3.1 00:00:06 12966000
2023-03-28 02:11:24 44351 3892952  3.6  3.1 00:00:06 12966000
2023-03-28 02:11:25 44351 3892952  3.6  3.1 00:00:06 12966000
2023-03-28 02:11:26 44351 3892952  3.6  3.1 00:00:06 12966000
2023-03-28 02:11:27 44351 3892952  3.6  3.1 00:00:06 12966000
2023-03-28 02:11:28 44351 3892952  3.5  3.1 00:00:06 12606000
2023-03-28 02:11:29 44351 3892952  3.5  3.1 00:00:06 12606000
2023-03-28 02:11:30 44351 3892952  3.5  3.1 00:00:06 12606000
2023-03-28 02:11:31 44351 3892952  3.5  3.1 00:00:06 12606000
2023-03-28 02:11:32 44351 3892952  3.5  3.1 00:00:06 12606000
2023-03-28 02:11:33 44351 3892952  3.5  3.1 00:00:06 12606000
2023-03-28 02:11:34 44351 3892952  3.4  3.1 00:00:06 12246000
